"rcp","year","n_features","file"
"rcp26",2030,2056,"webmap_data/geojson/bbtl_rcp26_2030.geojson"
"rcp45",2030,2056,"webmap_data/geojson/bbtl_rcp45_2030.geojson"
"rcp85",2030,2056,"webmap_data/geojson/bbtl_rcp85_2030.geojson"
"rcp26",2040,2056,"webmap_data/geojson/bbtl_rcp26_2040.geojson"
"rcp45",2040,2056,"webmap_data/geojson/bbtl_rcp45_2040.geojson"
"rcp85",2040,2056,"webmap_data/geojson/bbtl_rcp85_2040.geojson"
"rcp26",2050,2056,"webmap_data/geojson/bbtl_rcp26_2050.geojson"
"rcp45",2050,2056,"webmap_data/geojson/bbtl_rcp45_2050.geojson"
"rcp85",2050,2056,"webmap_data/geojson/bbtl_rcp85_2050.geojson"
"rcp26",2060,2056,"webmap_data/geojson/bbtl_rcp26_2060.geojson"
"rcp45",2060,2056,"webmap_data/geojson/bbtl_rcp45_2060.geojson"
"rcp85",2060,2056,"webmap_data/geojson/bbtl_rcp85_2060.geojson"
"rcp26",2070,2056,"webmap_data/geojson/bbtl_rcp26_2070.geojson"
"rcp45",2070,2056,"webmap_data/geojson/bbtl_rcp45_2070.geojson"
"rcp85",2070,2056,"webmap_data/geojson/bbtl_rcp85_2070.geojson"
"rcp26",2080,2056,"webmap_data/geojson/bbtl_rcp26_2080.geojson"
"rcp45",2080,2056,"webmap_data/geojson/bbtl_rcp45_2080.geojson"
"rcp85",2080,2056,"webmap_data/geojson/bbtl_rcp85_2080.geojson"
"rcp26",2090,2056,"webmap_data/geojson/bbtl_rcp26_2090.geojson"
"rcp45",2090,2056,"webmap_data/geojson/bbtl_rcp45_2090.geojson"
"rcp85",2090,2056,"webmap_data/geojson/bbtl_rcp85_2090.geojson"
"rcp26",2100,2056,"webmap_data/geojson/bbtl_rcp26_2100.geojson"
"rcp45",2100,2056,"webmap_data/geojson/bbtl_rcp45_2100.geojson"
"rcp85",2100,2056,"webmap_data/geojson/bbtl_rcp85_2100.geojson"
